"CU_ID","Species","Stock","Label","Year","Metric","Value","LBM","UBM","Status","Data_Type"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1996,"RelAbd",55024.6707400532,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1997,"RelAbd",48579.939524183,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1998,"RelAbd",56964.0570388122,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1999,"RelAbd",78401.3372353907,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2000,"RelAbd",98297.1717921569,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2001,"RelAbd",111464.430827609,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2002,"RelAbd",92237.9809682833,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2003,"RelAbd",116394.056470425,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2004,"RelAbd",132522.836330351,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2005,"RelAbd",123082.222298124,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2006,"RelAbd",110091.495406788,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2007,"RelAbd",82479.8010088294,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2008,"RelAbd",60704.696273179,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2009,"RelAbd",59213.6905358498,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2010,"RelAbd",69133.3451176612,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2011,"RelAbd",77661.4468723986,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2012,"RelAbd",80598.691908493,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2013,"RelAbd",71783.0930587654,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2014,"RelAbd",58333.6678816767,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2015,"RelAbd",31484.7087118854,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2016,"RelAbd",31215.763826511,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2017,"RelAbd",28071.8506075743,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2018,"RelAbd",28184.2137165089,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2019,"RelAbd",40441.3860569828,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2020,"RelAbd",39625.6629729738,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2021,"RelAbd",42660.4270296815,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2022,"RelAbd",49493.2047108151,15318,63808,"Amber","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2023,"RelAbd",66871.1525650653,15318,63808,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1995,"AbsAbd",76954.8522817721,1000,10000,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1996,"AbsAbd",55024.6707400532,1000,10000,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1997,"AbsAbd",48579.939524183,1000,10000,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1998,"AbsAbd",56964.0570388122,1000,10000,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",1999,"AbsAbd",78401.3372353907,1000,10000,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2000,"AbsAbd",98297.1717921569,1000,10000,"Green","Abs_Abd"
"CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2001,"AbsAbd",111464.430827609,1000,10000,"Green","Abs_Abd"
