"CU_ID","Year","Value"
"CO-04",2006,NA
"CO-04",2007,NA
"CO-04",2008,NA
"CO-04",2009,NA
"CO-04",2010,NA
"CO-04",2011,NA
"CO-04",2012,NA
"CO-04",2013,NA
"CO-04",2014,NA
"CO-04",2015,NA
"CO-04",2016,NA
"CO-04",2017,NA
"CO-04",2018,NA
"CO-04",2019,NA
"CO-04",2020,NA
"CO-04",2021,NA
"CO-04",2022,NA
"CO-04",2023,NA
"PKO-01",1995,7174584.00000001
"PKO-01",1997,2842108
"PKO-01",1999,3444982
"PKO-01",2001,19813620
"PKO-01",2003,22181030
"PKO-01",2005,8809624
"PKO-01",2007,7650051.99999999
"PKO-01",2009,15428836
"PKO-01",2011,12784507.74
"PKO-01",2013,9344490.07800001
"PKO-01",2015,5315845
"PKO-01",2017,3392159
"PKO-01",2019,8307419.479
"PKO-01",2021,7827444.56800001
"PKO-01",2023,9575759.99999999
"SEL-07-01",1995,4373.48009874312
"SEL-07-01",1996,5841.31751507642
"SEL-07-01",1997,8269.22695325682
"SEL-07-01",1998,8439.03215195701
"SEL-07-01",1999,6240.04006780855
"SEL-07-01",2000,6942.25744538754
"SEL-07-01",2001,7201.05913673889
"SEL-07-01",2002,8311.65178675943
"SEL-07-01",2003,7702.83560524898
"SEL-07-01",2004,4009.29036766521
"SEL-07-01",2005,3001.86633549093
"SEL-07-01",2006,1927.0922289153
"SEL-07-01",2007,1483.19804933128
"SEL-07-01",2008,1421.7359616771
"SEL-07-01",2009,1412.86008084696
"SEL-07-01",2010,2184.79769142453
"SEL-07-01",2011,2555.45839298013
"SEL-07-01",2012,1343.03752054602
"SEL-07-01",2013,1579.17981461111
"SEL-07-01",2014,1716.02704101389
"SEL-07-01",2015,1655.61213175876
"SEL-07-01",2016,2065.75877649436
"SEL-07-01",2017,1083.40763793375
"SEL-07-01",2018,1000.39273414402
"SEL-07-01",2019,275.880235064546
"SEL-07-01",2020,343.57866560535
"SEL-07-01",2021,646.832503531879
"SEL-07-01",2022,506.78867208349
"SEL-07-01",2023,1695.90407194497
"SEL-06-11",1995,7697.94665187166
"SEL-06-11",1996,7879.21531236501
"SEL-06-11",1997,6436.4531304223
"SEL-06-11",1998,8115.90966250355
"SEL-06-11",1999,7049.89734026339
"SEL-06-11",2000,5601.45198127231
"SEL-06-11",2001,4224.01917081837
"SEL-06-11",2002,3796.53489996227
"SEL-06-11",2003,3931.9232894951
"SEL-06-11",2004,4015.66053846388
"SEL-06-11",2005,5753.58705445999
"SEL-06-11",2006,6011.40482993436
"SEL-06-11",2007,4642.8097277266
"SEL-06-11",2008,2333.175663437
"SEL-06-11",2009,1397.73322399275
"SEL-06-11",2010,1790.53850308321
"SEL-06-11",2011,1518.7792356057
"SEL-06-11",2012,1128.28409029908
"SEL-06-11",2013,1643.46680476815
"SEL-06-11",2014,1347.72700751431
"SEL-06-11",2015,599.422027593972
"SEL-06-11",2016,678.334116716389
"SEL-06-11",2017,421.124604999067
"SEL-06-11",2018,476.784026725488
"SEL-06-11",2019,940.009915823947
"SEL-06-11",2020,785.586423872608
"SEL-06-11",2021,1013.85007741005
"SEL-06-11",2022,858.097856147303
"SEL-06-11",2023,1367.99997689834
"SEL-03-04",1995,49099.8582854971
"SEL-03-04",1996,47166.1023165388
"SEL-03-04",1997,33883.3393108479
"SEL-03-04",1998,32330.8292856285
"SEL-03-04",1999,32994.0698629902
"SEL-03-04",2000,18957.5212655932
"SEL-03-04",2001,16858.0768306666
"SEL-03-04",2002,18388.7640112543
"SEL-03-04",2003,21568.0720576237
"SEL-03-04",2004,31956.4942012046
"SEL-03-04",2005,42831.1068568369
"SEL-03-04",2006,32261.758556695
"SEL-03-04",2007,29495.6041225757
"SEL-03-04",2008,13777.6971667196
"SEL-03-04",2009,12206.4983586831
"SEL-03-04",2010,14361.6049962715
"SEL-03-04",2011,16374.679800788
"SEL-03-04",2012,14527.354256879
"SEL-03-04",2013,15017.452153582
"SEL-03-04",2014,12323.6428763516
